Correct_Position,Call_Number,norm_call_number,Title,"Position Scanned",Problem,Barcode
1,"GE40 .E49 2017  ","GE   40            E 492017","The environmental humanities : a critica...",1,"LL3****BLANK I POLICY**","=""35101013430421"""
2,"GE105 .E36 2009  ","GE  105            E 362009","Ecology and the environment : perspectiv...",2,LL3**,"=""35101012641762"""
3,"GN269 .S86 1982  ","GN  269            S 861982","The idea of race in science : Great Brit...",3,LL3**,"=""35101003044620"""
4,"HC108.J36 G65 2017  ","HC  108            J 36   G 652017","Janesville : an American story /...",4,LL3**,"=""35101013407072"""
5,"HD8039.C259 N78 1993  ","HD 8039            C 259   N 781993","Common labour : workers and the digging ...",5,LL3**,"=""35101009455804"""
6,"HD9539.N52 C24  ","HD 9539            N 52   C 24","Falconbridge : portrait of a Canadian mi...",6,LL3**,"=""35101002494966"""
7,"HM741 .R39 2023  ","HM  741            R 392023","Network analysis : integrating social ne...",7,"LL3****WRONG ITEM POLICY: 999**","=""35101206088762"""
8,"HQ1134 .B58 1995  ","HQ 1134            B 581995","Women in ancient Greece /...",8,LL3**,"=""35101009179941"""
9,"HT1076 .F47 2014  ","HT 1076            F 472014","Freedom's mirror : Cuba and Haiti in the...",9,LL3**,"=""35101013266387"""
10,"HV6250.4.W65 G48 2020  ","HV 62504           W 65   G 482020","Gender violence : interdisciplinary pers...",10,"LL3****BLANK I POLICY**","=""35101013542803"""
11,"PQ3989.2.D56 F74 2018  ","PQ 39892           D 56   F 742018","Frère d'âme : roman /...",11,"LL4****WRONG ITEM POLICY: 999**","=""35101206093739"""
12,"PQ7081.5 .S36 2004  ","PQ 70815           S 362004","Bending the rules in the quest for an au...",12,LL4**,"=""35101011841728"""
13,"PQ9189.A44 C313 2000  ","PQ 9189            A 44   C 3132000","Songs of Holy Mary of Alfonso X, the Wis...",13,LL4**,"=""35101013258525"""
14,"PR1119 .A2 no.292  ","PR 1119            A 2   NO\. 292;","The pilgrimage of the lyfe of the manhod...",14,LL4**,"=""35101003513418"""
15,"PR1119 .A2 no.292  ","PR 1119            A 2   NO\. 292;","The pilgrimage of the lyfe of the manhod...",15,LL4**,"=""35101009157442"""
16,"PR2010 .K3 1988  ","PR 2010            K 31988","Piers Plowman--the three versions...",18,"**OUT OF ORDER**Item Currently Between:PR2010 .S3 1995  & PR3069.L6 N57 2007  Move item back 2 spacesLL4**","=""35101009890133"""
17,"PR2010 .P4 1979  ","PR 2010            P 41979","Piers Plowman /...",16,LL4**,"=""35101002703994"""
18,"PR2010 .S3 1995  ","PR 2010            S 31995","Piers Plowman : a parallel-text edition ...",17,LL4**,"=""35101009786414"""
19,"PR3069.L6 N57 2007  ","PR 3069            L 6   N 572007","Shakespeare and the nature of love : lit...",19,LL4**,"=""35101012387580"""
20,"PR4581 .K355 2023  ","PR 4581            K 3552023","The life and lies of Charles Dickens /...",20,"LL4****WRONG ITEM POLICY: 999**","=""35101206093333"""
